limit_cgroup,vm_view_mem_total,vm_view_mem_available,vm_view_memory_used,host_view_vm_memory_used,host_view_vm_current_swap,vm_view_response_time,icmp_response_time,bw_down,bw_up
2147483648.0,2058121216.0,1665732608.0,392388608.0,1170415616.0,811679744.0,27.82675,2.5168657302856445,7.320585250854492,0.40543460845947266
2013265920.0,2058121216.0,1663606784.0,394514432.0,1213681664.0,810942464.0,27.358249999999998,1.2965798377990723,7.281792402267456,0.4019806385040283
2013265920.0,2058121216.0,1661849600.0,396271616.0,1251434496.0,810450944.0,25.387000000000004,1.2283921241760254,7.535728931427002,0.3646872043609619
1879048192.0,2058121216.0,1663168512.0,394952704.0,1270689792.0,809967616.0,28.40625,1.5128850936889648,7.553312540054321,0.4116678237915039
1879048192.0,2058121216.0,1664233472.0,393887744.0,1313353728.0,809226240.0,28.81675,1.5336871147155762,7.372325420379639,0.42225170135498047
1744830464.0,2058121216.0,1662869504.0,395251712.0,1355501568.0,808972288.0,25.56125,1.1973381042480469,7.6124796867370605,0.36328125
1744830464.0,2058121216.0,1672249344.0,385871872.0,1375277056.0,808755200.0,26.63975,1.4487504959106445,7.0696704387664795,0.3784220218658447
1610612736.0,2058121216.0,1678266368.0,379854848.0,1412616192.0,808501248.0,25.256999999999998,1.1437535285949707,6.989974737167358,0.325991153717041
1610612736.0,2058121216.0,1685913600.0,372207616.0,1454968832.0,807563264.0,26.97075,1.7129778861999512,6.980865240097046,0.374863862991333
1476395008.0,2058121216.0,1663062016.0,395059200.0,1476395008.0,807301120.0,27.022750000000002,2.142190933227539,7.399928092956543,0.38811278343200684
1476395008.0,2058121216.0,1676374016.0,381747200.0,1476378624.0,807063552.0,30.3705,1.4576315879821777,7.1854212284088135,0.4523899555206299
1342177280.0,2058121216.0,1676111872.0,382009344.0,1330720768.0,806547456.0,32.73,0.8862614631652832,7.008101940155029,0.517892599105835
1207959552.0,2058121216.0,1685729280.0,372391936.0,1197797376.0,806285312.0,28.4635,4.340410232543945,7.040207624435425,0.40812087059020996
1207959552.0,2058121216.0,1681059840.0,377061376.0,1207476224.0,806023168.0,26.596000000000004,1.5408992767333984,6.87089729309082,0.3831753730773926
1073741824.0,2058121216.0,1663619072.0,394502144.0,1058369536.0,871936000.0,30.89125,1.689136028289795,6.433140516281128,0.4385671615600586
1073741824.0,2058121216.0,1697132544.0,360988672.0,1072893952.0,871411712.0,30.3175,0.9711980819702148,6.548780918121338,0.4274263381958008
939524096.0,2058121216.0,1661513728.0,396607488.0,842682368.0,975015936.0,37.23066666666667,1.9303162892659504,7.023468017578125,0.45980167388916016
939524096.0,2058121216.0,1663578112.0,394543104.0,883875840.0,974512128.0,30.147000000000002,2.8693675994873047,7.013730525970459,0.40545654296875
1073741824.0,2058121216.0,1663336448.0,394784768.0,927973376.0,972963840.0,26.112250000000003,2.1967291831970215,7.398194313049316,0.3931446075439453
1073741824.0,2058121216.0,1662636032.0,395485184.0,969113600.0,971653120.0,28.5515,1.5063881874084473,7.4673240184783936,0.42399144172668457
1207959552.0,2058121216.0,1664884736.0,393236480.0,993431552.0,970080256.0,27.154249999999998,1.3172030448913574,7.376405239105225,0.38277244567871094
1342177280.0,2058121216.0,1663086592.0,395034624.0,1034002432.0,969818112.0,29.621,2.66951322555542,7.247145175933838,0.4263036251068115
1342177280.0,2058121216.0,1671536640.0,386584576.0,1074778112.0,969031680.0,28.70675,1.1311769485473633,7.2064528465271,0.4330413341522217
1476395008.0,2058121216.0,1662164992.0,395956224.0,1103060992.0,969031680.0,25.298999999999996,1.2134909629821777,7.780773401260376,0.3867931365966797
1476395008.0,2058121216.0,1663381504.0,394739712.0,1148936192.0,968507392.0,25.7605,1.7219781875610352,7.521009922027588,0.38165807723999023
1610612736.0,2058121216.0,1668415488.0,389705728.0,1192685568.0,967983104.0,27.817999999999998,2.2583603858947754,6.976977348327637,0.41918110847473145
1610612736.0,2058121216.0,1664708608.0,393412608.0,1212481536.0,967458816.0,26.732,1.5752911567687988,6.9449663162231445,0.4006500244140625
1744830464.0,2058121216.0,1666142208.0,391979008.0,1258545152.0,966410240.0,27.59675,2.047300338745117,6.566506624221802,0.4258573055267334
1744830464.0,2058121216.0,1662287872.0,395833344.0,1293570048.0,965885952.0,25.266750000000002,1.64717435836792,6.839201211929321,0.36333703994750977
1879048192.0,2058121216.0,1663586304.0,394534912.0,1320542208.0,965623808.0,30.362750000000002,1.9938945770263672,7.605881690979004,0.4812436103820801
1879048192.0,2058121216.0,1663377408.0,394743808.0,1346383872.0,965099520.0,27.27175,1.3374090194702148,7.212956428527832,0.40311193466186523
2013265920.0,2058121216.0,1663303680.0,394817536.0,1388703744.0,964575232.0,25.16375,1.5285611152648926,7.2291247844696045,0.37040019035339355
2013265920.0,2058121216.0,1664212992.0,393908224.0,1426907136.0,963788800.0,23.825599999999998,1.2172698974609375,7.286006736755371,0.35070095062255857
2147483648.0,2058121216.0,1665654784.0,392466432.0,1466040320.0,963002368.0,25.032500000000002,2.933382987976074,6.9427268505096436,0.37004542350769043
2147483648.0,2058121216.0,1662722048.0,395399168.0,1506197504.0,962740224.0,25.08275,2.295553684234619,7.193843126296997,0.36460137367248535
2147483648.0,2058121216.0,1661751296.0,396369920.0,1571799040.0,959885312.0,27.59225,1.3640224933624268,7.594961524009705,0.41215991973876953
