Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708596949.2000124,2147483648,2058121216,1665732608,392388608,1170415616,811679744,27.82675,2.5168657302856445,7.320585250854492,0.40543460845947266
1708596971.2900114,2013265920,2058121216,1663606784,394514432,1213681664,810942464,27.358249999999998,1.2965798377990723,7.281792402267456,0.4019806385040283
1708596991.7951558,2013265920,2058121216,1661849600,396271616,1251434496,810450944,25.387000000000004,1.2283921241760254,7.535728931427002,0.3646872043609619
1708597014.723882,1879048192,2058121216,1663168512,394952704,1270689792,809967616,28.40625,1.5128850936889648,7.553312540054321,0.4116678237915039
1708597037.9843743,1879048192,2058121216,1664233472,393887744,1313353728,809226240,28.81675,1.5336871147155762,7.372325420379639,0.42225170135498047
1708597058.623671,1744830464,2058121216,1662869504,395251712,1355501568,808972288,25.56125,1.1973381042480469,7.6124796867370605,0.36328125
1708597080.1471932,1744830464,2058121216,1672249344,385871872,1375277056,808755200,26.63975,1.4487504959106445,7.0696704387664795,0.3784220218658447
1708597100.5721009,1610612736,2058121216,1678266368,379854848,1412616192,808501248,25.256999999999998,1.1437535285949707,6.989974737167358,0.325991153717041
1708597122.351837,1610612736,2058121216,1685913600,372207616,1454968832,807563264,26.97075,1.7129778861999512,6.980865240097046,0.374863862991333
1708597144.168822,1476395008,2058121216,1663062016,395059200,1476395008,807301120,27.022750000000002,2.142190933227539,7.399928092956543,0.38811278343200684
1708597168.6743562,1476395008,2058121216,1676374016,381747200,1476378624,807063552,30.3705,1.4576315879821777,7.1854212284088135,0.4523899555206299
1708597195.0959322,1342177280,2058121216,1676111872,382009344,1330720768,806547456,32.73,0.8862614631652832,7.008101940155029,0.517892599105835
1708597218.0667448,1207959552,2058121216,1685729280,372391936,1197797376,806285312,28.4635,4.340410232543945,7.040207624435425,0.40812087059020996
1708597239.543874,1207959552,2058121216,1681059840,377061376,1207476224,806023168,26.596000000000004,1.5408992767333984,6.87089729309082,0.3831753730773926
1708597264.5712612,1073741824,2058121216,1663619072,394502144,1058369536,871936000,30.89125,1.689136028289795,6.433140516281128,0.4385671615600586
1708597289.051145,1073741824,2058121216,1697132544,360988672,1072893952,871411712,30.3175,0.9711980819702148,6.548780918121338,0.4274263381958008
1708597311.7064004,939524096,2058121216,1661513728,396607488,842682368,975015936,37.23066666666667,1.9303162892659504,7.023468017578125,0.45980167388916016
1708597336.0186138,939524096,2058121216,1663578112,394543104,883875840,974512128,30.147000000000002,2.8693675994873047,7.013730525970459,0.40545654296875
1708597357.1175635,1073741824,2058121216,1663336448,394784768,927973376,972963840,26.112250000000003,2.1967291831970215,7.398194313049316,0.3931446075439453
1708597380.1539955,1073741824,2058121216,1662636032,395485184,969113600,971653120,28.5515,1.5063881874084473,7.4673240184783936,0.42399144172668457
1708597402.078682,1207959552,2058121216,1664884736,393236480,993431552,970080256,27.154249999999998,1.3172030448913574,7.376405239105225,0.38277244567871094
1708597425.9784338,1342177280,2058121216,1663086592,395034624,1034002432,969818112,29.621,2.66951322555542,7.247145175933838,0.4263036251068115
1708597449.150953,1342177280,2058121216,1671536640,386584576,1074778112,969031680,28.70675,1.1311769485473633,7.2064528465271,0.4330413341522217
1708597469.6023455,1476395008,2058121216,1662164992,395956224,1103060992,969031680,25.298999999999996,1.2134909629821777,7.780773401260376,0.3867931365966797
1708597490.4008412,1476395008,2058121216,1663381504,394739712,1148936192,968507392,25.7605,1.7219781875610352,7.521009922027588,0.38165807723999023
1708597512.851987,1610612736,2058121216,1668415488,389705728,1192685568,967983104,27.817999999999998,2.2583603858947754,6.976977348327637,0.41918110847473145
1708597534.4468696,1610612736,2058121216,1664708608,393412608,1212481536,967458816,26.732,1.5752911567687988,6.9449663162231445,0.4006500244140625
1708597556.7361186,1744830464,2058121216,1666142208,391979008,1258545152,966410240,27.59675,2.047300338745117,6.566506624221802,0.4258573055267334
1708597577.1446905,1744830464,2058121216,1662287872,395833344,1293570048,965885952,25.266750000000002,1.64717435836792,6.839201211929321,0.36333703994750977
1708597601.64635,1879048192,2058121216,1663586304,394534912,1320542208,965623808,30.362750000000002,1.9938945770263672,7.605881690979004,0.4812436103820801
1708597623.6735296,1879048192,2058121216,1663377408,394743808,1346383872,965099520,27.27175,1.3374090194702148,7.212956428527832,0.40311193466186523
1708597644.0104012,2013265920,2058121216,1663303680,394817536,1388703744,964575232,25.16375,1.5285611152648926,7.2291247844696045,0.37040019035339355
1708597668.086697,2013265920,2058121216,1664212992,393908224,1426907136,963788800,23.825599999999998,1.2172698974609375,7.286006736755371,0.35070095062255857
1708597688.3180745,2147483648,2058121216,1665654784,392466432,1466040320,963002368,25.032500000000002,2.933382987976074,6.9427268505096436,0.37004542350769043
1708597708.585955,2147483648,2058121216,1662722048,395399168,1506197504,962740224,25.08275,2.295553684234619,7.193843126296997,0.36460137367248535
