Time,VM VIEW Current CGroup Limit,VM VIEW Memory Total,VM VIEW Memory Available,VM VIEW Memory Used,HOST VIEW VM Memory used,HOST VIEW VM Current Swap,VM2 VIEW Response Time,ICMP Response Time,VM2 VIEW Bandwidth Download,VM2 VIEW Bandwidth Upload
1708948479.2793741,2147483648,2058121216,1404608512,653512704,1243246592,1445367808,60.067,1.4348030090332031,18.032039642333984,0.7289938926696777
1708948491.8075848,2147483648,2058121216,1388908544,669212672,1274777600,1425444864,62.314,2.1042823791503906,19.66473388671875,0.7657928466796875
1708948513.3928025,2147483648,2058121216,1341005824,717115392,1331736576,1393201152,53.6715,0.8552074432373047,17.71300745010376,0.6847038269042969
1708948530.8669279,2147483648,2058121216,1295073280,763047936,1373949952,1369608192,43.3685,1.265406608581543,13.473322868347168,0.5516252517700195
1708948548.8235126,2147483648,2058121216,1232117760,826003456,1426464768,1345490944,44.4915,1.865983009338379,12.489844799041748,0.5437140464782715
1708948561.3182688,2147483648,2058121216,1198485504,859635712,1459855360,1323732992,62.119,10.325431823730469,18.294239044189453,0.7323884963989258
1708948578.1908078,1610612736,2058121216,1139810304,918310912,1491730432,1302499328,41.7275,1.5916824340820312,12.524325847625732,0.4927806854248047
1708948590.790633,1610612736,2058121216,1101705216,956416000,1534099456,1282576384,62.631,2.100229263305664,17.795312881469727,0.6467685699462891
1708948609.7573514,1610612736,2058121216,1062006784,996114432,1610493952,1222283264,47.0775,2.1135807037353516,15.170949935913086,0.6139521598815918
1708948626.4052668,1610612736,2058121216,1062498304,995622912,1609732096,1200787456,82.892,1.7766952514648438,25.737974166870117,0.8732528686523438
1708948645.368114,1610612736,2058121216,1031569408,1026551808,1610514432,1181126656,94.423,2.531766891479492,26.839275360107422,1.0135889053344727
1708948659.2173972,1610612736,2058121216,1018142720,1039978496,1610350592,1166970880,68.864,2.4251937866210938,21.907512664794922,0.7265844345092773
1708948686.0205817,1610612736,2058121216,937738240,1120382976,1609678848,1142091776,66.635,16.26753807067871,21.29554271697998,0.7668685913085938
1708948882.4734523,1073741824,2058121216,879857664,1178263552,671342592,1950425088,975.645,23.59318733215332,63.098050117492676,3.462977409362793
1708948948.0028145,1073741824,2058121216,835780608,1222340608,769359872,1883316224,313.384,1.1577606201171875,72.21285724639893,2.8306331634521484
1708948998.951268,1610612736,2058121216,792924160,1265197056,862408704,1826430976,254.003,3.0608177185058594,62.84060764312744,2.363525390625
1708949034.350164,1610612736,2058121216,764964864,1293156352,916652032,1787371520,176.63,3.710508346557617,43.77065563201904,1.668440818786621
1708949054.0324407,1610612736,2058121216,749756416,1308364800,950747136,1766924288,98.01,3.345489501953125,27.304194450378418,0.9996767044067383
1708949078.6850455,1610612736,2058121216,723881984,1334239232,984739840,1740709888,122.856,2.7914047241210938,38.56395149230957,1.2790699005126953
1708949111.2237546,2147483648,2058121216,696610816,1361510400,1029517312,1709776896,162.121,6.371021270751953,48.69584655761719,1.580143928527832
1708949135.1284287,2147483648,2058121216,699322368,1358798848,1060515840,1686446080,118.757,1.7991065979003906,31.294079780578613,1.1409358978271484
1708949159.8541381,2147483648,2058121216,668131328,1389989888,1097998336,1660231680,122.621,1.3041496276855469,31.592958450317383,1.1569738388061523
1708949181.9484258,2147483648,2058121216,647069696,1411051520,1127084032,1636638720,108.802,4.042625427246094,32.149200439453125,1.1574268341064453
1708949204.6222813,2147483648,2058121216,615395328,1442725888,1165697024,1613045760,112.961,2.5653839111328125,32.28873634338379,1.1776800155639648
1708949223.4803748,2147483648,2058121216,607858688,1450262528,1188601856,1593647104,93.855,3.6771297454833984,26.50956630706787,0.9715776443481445
